date,trial,rep,F_roll_2p5m,B_roll_2p5m,F_rollrate_2p5m,B_rollrate_2p5m,F_roll_initial,B_roll_initial,F_rollrate_initial,B_rollrate_initial
Apr21,r45,1,-5.02,2.37,0.0,108.09,34.54,37.65,1.62,1.84
Apr21,r45,2,4.15,-2.72,-15.52,-89.32,39.36,41.16,-30.65,7.42
Apr21,r45,3,18.74,13.47,290.16,-78.21,42.29,46.21,106.32,29.24
Apr21,r45,4,-12.33,-5.54,52.88,37.0,47.4,48.9,14.89,14.91
Apr21,r45,5,1.7,15.12,17.9,243.77,45.07,49.72,16.93,-99.08
Apr21,r90,1,1.49,1.52,-34.06,167.4,87.97,90.89,56.43,-137.99
Apr21,r90,2,1.75,50.53,-86.31,-206.79,80.27,84.19,11.29,-142.72
Apr21,r90,3,-51.03,-59.8,-285.5,-545.03,84.83,96.5,-7.64,-85.36
Apr21,r90,4,170.31,148.08,100.11,-10.34,83.88,86.15,-37.46,-76.15
Apr21,r90,5,-34.47,-15.57,-100.15,-247.27,84.26,87.39,25.24,-51.68
Apr21,r180,1,339.66,2.2,127.71,88.18,175.7,177.24,-63.44,13.5
Apr21,r180,2,0.66,0.23,0.0,26.49,173.41,172.6,-29.7,-29.62
Apr21,r180,3,35.1,-2.89,0.76,-19.68,174.08,174.09,72.95,73.79
Apr21,r180,4,438.67,76.34,366.08,463.94,178.55,179.32,0.0,38.47
Apr21,r180,5,-98.51,-63.36,-108.65,76.45,170.41,171.96,-48.18,28.78
